Id,SalePrice
1461,111443.01705307723
1462,165044.61292211228
1463,186492.00237186663
1464,207845.16734176633
1465,192948.71313286
1466,174882.77965212002
1467,182126.9727078775
1468,162820.09156698882
1469,220721.22620145784
1470,113877.03104879103
1471,191241.77038812902
1472,100738.08833293768
1473,93749.78724427577
1474,148685.9537170123
1475,106887.6472897615
1476,339516.81011518784
1477,253961.46388812407
1478,269503.1808325135
1479,294782.59101247456
1480,434257.3759523745
1481,341350.166741559
1482,215491.64845842158
1483,186863.63928662633
1484,168959.5791949073
1485,189214.6075676583
1486,202948.19739467054
1487,334584.49920920015
1488,254925.4546693869
1489,189323.8052367869
1490,222791.411944491
1491,200475.6226756436
1492,90589.6414557423
1493,181440.31644188866
1494,299100.66369354585
1495,296942.24665037106
1496,217022.3714404792
1497,168095.91164616335
1498,161236.73819088118
1499,148770.33781502733
1500,142679.54991087742
1501,162185.61409768643
1502,140796.2714054109
1503,288632.3347579483
1504,239797.1540768719
1505,220332.95551003638
1506,193121.99089057394
1507,251352.1133209859
1508,199793.43053600765
1509,158640.05950854893
1510,141988.11870882905
1511,154657.72422543928
1512,175495.07089640407
1513,146145.69390822854
1514,168084.31963991595
1515,204224.93925938243
1516,151828.91208786174
1517,178986.6461704162
1518,122007.96724525336
1519,214542.9076433684
1520,120634.56786974797
1521,126877.10041949639
1522,177069.69326857643
1523,100924.48292963798
1524,123979.67081375865
1525,116667.00387023861
1526,116391.02646059587
1527,104121.40179282248
1528,138702.34080677052
1529,135246.43620417846
1530,204104.50093806165
1531,121254.2983788125
1532,105024.33125119066
1533,144296.37831718815
1534,125257.80820915881
1535,155116.79466485558
1536,111792.85824293303
1537,78239.67352077854
1538,179132.2052864012
1539,190519.20892044576
1540,100724.0225642153
1541,154982.7627436342
1542,126333.85838055865
1543,202162.95057716948
1544,88127.9236808103
1545,115890.16101280699
1546,122365.92058985887
1547,123571.87460607477
1548,138178.63867766276
1549,117325.57153330174
1550,121166.65236440828
1551,113071.54406122412
1552,127106.82461307434
1553,149985.22581623078
1554,115617.65737491426
1555,156293.35224050324
1556,99342.06187613143
1557,116464.72661294072
1558,98257.75521258985
1559,96295.41582011656
1560,131499.19344681606
1561,121669.86785873897
1562,124464.07257379849
1563,115034.29069783645
1564,161451.21793503177
1565,139220.47544319407
1566,245859.64781406682
1567,78135.09672745755
1568,226545.08925485902
1569,123031.59085744993
1570,148204.16892875833
1571,122239.59017878042
1572,146576.38922276912
1573,256836.15653620672
